Mã chứng khoán,Sàn giao dịch,Tên công ty,Ngành nghề
TMG,UPCOM,Công ty Cổ phần Kim loại màu Thái Nguyên - Vimico,Kim loại
TMP,HSX,Công ty Cổ phần Thủy điện Thác Mơ,Sản xuất & Phân phối Điện
TMS,HSX,Công ty Cổ phần Transimex,Vận tải
TMT,HSX,Công ty Cổ phần Ô tô TMT,Ô tô và phụ tùng
TMW,UPCOM,Công ty Cổ phần Tổng hợp Gỗ Tân Mai,Lâm nghiệp và Giấy
TMX,HNX,Công ty Cổ phần VICEM Thương mại Xi măng,Xây dựng và Vật liệu
TN1,HSX,Công ty Cổ phần Rox Key Holdings,Bất động sản
TNA,UPCOM,Công ty Cổ phần Thương mại Xuất nhập khẩu Thiên Nam,Kim loại
TNB,UPCOM,Công ty Cổ phần Thép Nhà Bè - VNSTEEL,Kim loại
TNC,HSX,Công ty Cổ phần Cao su Thống Nhất,Hóa chất
TNG,HNX,Công ty Cổ phần Đầu tư và Thương mại TNG,Hàng cá nhân
TNH,HSX,Công ty Cổ phần Tập đoàn Bệnh viện TNH,Thiết bị và Dịch vụ Y tế
TNI,HSX,Công ty Cổ phần Tập đoàn Thành Nam,Kim loại
TNM,UPCOM,Công ty Cổ phần Xuất nhập khẩu và Xây dựng Công trình,Xây dựng và Vật liệu
TNP,UPCOM,Công ty Cổ phần Cảng Thị Nại,Vận tải
TNS,UPCOM,Công ty Cổ phần Thép tấm lá Thống Nhất,Kim loại
TNT,HSX,Công ty Cổ phần Tập đoàn TNT,Khai khoáng
TNV,UPCOM,Công ty Cổ phần Thống Nhất Hà Nội,Hàng cá nhân
TNW,UPCOM,Công ty Cổ phần Nước sạch Thái Nguyên,Nước & Khí đốt
TOP,UPCOM,Công ty Cổ phần Phân phối Top One,Bán lẻ
TOS,UPCOM,Công ty Cổ phần Dịch vụ biển Tân Cảng,"Thiết bị, Dịch vụ và Phân phối Dầu khí"
TOT,HNX,Công ty Cổ phần Transimex Logistics,Vận tải
TOW,UPCOM,Công ty Cổ phần Cấp nước Trà Nóc - Ô Môn,Nước & Khí đốt
TPB,HSX,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng
TPC,HSX,Công ty Cổ phần Nhựa Tân Đại Hưng,Hóa chất
TPH,HNX,Công ty Cổ phần In Sách giáo khoa tại Thành phố Hà Nội,Truyền thông
TPP,HNX,Công ty Cổ phần Tân Phú Việt Nam,Hàng công nghiệp
TPS,UPCOM,Công ty Cổ phần Bến bãi vận tải Sài Gòn,Du lịch & Giải trí
TQN,UPCOM,Công ty Cổ phần Thông Quảng Ninh,Lâm nghiệp và Giấy
TQW,UPCOM,Công ty Cổ phần Cấp thoát nước Tuyên Quang,Nước & Khí đốt
TR1,UPCOM,Công ty Cổ phần Vận Tải 1 Traco,Vận tải
TRA,HSX,Công ty Cổ phần Traphaco,Dược phẩm
TRC,HSX,Công ty Cổ phần Cao su Tây Ninh,Hóa chất
TRS,UPCOM,Công ty Cổ phần Vận tải và Dịch vụ Hàng Hải,Vận tải
TRT,UPCOM,Công ty Cổ phần RedstarCera,Xây dựng và Vật liệu
TS3,UPCOM,Công ty Cổ phần Trường Sơn 532,Xây dựng và Vật liệu
TS4,UPCOM,Công ty Cổ phần Thủy sản số 4,Sản xuất thực phẩm
TSA,UPCOM,Công ty Cổ Phần Đầu Tư Và Xây Lắp Trường Sơn,Xây dựng và Vật liệu
TSB,HNX,Công ty Cổ phần Ắc quy Tia Sáng,Điện tử & Thiết bị điện
TSC,HSX,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Hóa chất
TSD,UPCOM,Công ty Cổ phần Du lịch Trường Sơn Coecco,Du lịch & Giải trí
TSG,UPCOM,Công ty Cổ phần Thông tin Tín hiệu Đường sắt Sài Gòn,Vận tải
TSJ,UPCOM,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Du lịch & Giải trí
TST,UPCOM,Công ty Cổ phần Dịch vụ Kỹ thuật Viễn thông,Phần mềm & Dịch vụ Máy tính
TT6,UPCOM,Công ty Cổ Phần Tập Đoàn Tiến Thịnh,Sản xuất thực phẩm
TTA,HSX,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,Sản xuất & Phân phối Điện
TTB,UPCOM,Công ty Cổ phần TTBGROUP,Xây dựng và Vật liệu
TTC,HNX,Công ty Cổ phần Gạch men Thanh Thanh,Xây dựng và Vật liệu
TTD,UPCOM,Công ty Cổ phần Bệnh viện Tim Tâm Đức,Thiết bị và Dịch vụ Y tế
TTE,HSX,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,Sản xuất & Phân phối Điện
TTF,HSX,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Lâm nghiệp và Giấy
TTG,UPCOM,Công ty Cổ phần May Thanh Trì,Hàng cá nhân
TTH,HNX,Công ty Cổ phần Thương mại và Dịch vụ Tiến Thành,Kim loại
TTL,HNX,Tổng Công ty Thăng Long - Công ty Cổ phần,Xây dựng và Vật liệu
TTN,UPCOM,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Viễn thông cố định
TTS,UPCOM,Công ty Cổ phần Cán thép Thái Trung,Kim loại
TTT,HNX,Công ty Cổ phần Du Lịch - Thương Mại Tây Ninh,Du lịch & Giải trí
TTZ,UPCOM,Công ty Cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung,Xây dựng và Vật liệu
TUG,UPCOM,Công ty Cổ phần Lai dắt và Vận tải Cảng Hải Phòng,Vận tải
TV1,UPCOM,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Tư vấn & Hỗ trợ Kinh doanh
TV2,HSX,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Tư vấn & Hỗ trợ Kinh doanh
TV3,HNX,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Xây dựng và Vật liệu
TV4,HNX,Công ty Cổ phần Tư vấn Xây dựng Điện 4,Tư vấn & Hỗ trợ Kinh doanh
TV6,UPCOM,Công ty Cổ phần Tập đoàn EMA LAND,Bán lẻ
TVA,UPCOM,Công ty cổ phần Sứ Viglacera Thanh Trì,Xây dựng và Vật liệu
TVB,HSX,Công ty Cổ phần Chứng khoán Trí Việt,Dịch vụ tài chính
TVC,HNX,Công ty Cổ phần Tập đoàn Quản lý Tài sản Trí Việt,Dịch vụ tài chính
TVD,HNX,Công ty Cổ phần Than Vàng Danh - Vinacomin,Khai khoáng
TVG,UPCOM,Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Giao thông Vận tải,Xây dựng và Vật liệu
TVH,UPCOM,Công ty Cổ phần Tư vấn Xây dựng công trình Hàng hải,Xây dựng và Vật liệu
TVM,UPCOM,Công ty Cổ phần Tư vấn đầu tư Mỏ và công nghiệp - Vinacomin,Tư vấn & Hỗ trợ Kinh doanh
TVN,UPCOM,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,Kim loại
TVS,HSX,Công ty Cổ phần Chứng khoán Thiên Việt,Dịch vụ tài chính
TVT,HSX,Tổng Công ty Việt Thắng - CTCP,Hàng cá nhân
TW3,UPCOM,Công ty Cổ phần Dược Trung Ương 3,Dược phẩm
TXM,HNX,Công ty Cổ phần VICEM Thạch cao Xi Măng,Xây dựng và Vật liệu
TYA,HSX,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam,Điện tử & Thiết bị điện
UCT,UPCOM,Công ty Cổ phần Đô thị Cần Thơ,Tư vấn & Hỗ trợ Kinh doanh
UDC,UPCOM,Công ty Cổ phần Xây dựng và Phát triển đô thị Tỉnh Bà Rịa - Vũng Tàu,Xây dựng và Vật liệu
UDJ,UPCOM,Công ty Cổ phần Phát triển Đô thị,Xây dựng và Vật liệu
UDL,UPCOM,Công ty Cổ phần Đô thị và Môi trường Đắk Lắk,Tư vấn & Hỗ trợ Kinh doanh
UEM,UPCOM,Công ty Cổ phần Cơ điện Uông Bí - Vinacomin,Công nghiệp nặng
UIC,HSX,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO,Sản xuất & Phân phối Điện
UMC,UPCOM,Công ty Cổ phần Công trình đô thị Nam Định,Xây dựng và Vật liệu
UNI,HNX,Công ty Cổ phần Đầu tư và Phát triển Sao Mai Việt,Phần mềm & Dịch vụ Máy tính
UPC,UPCOM,Công ty Cổ phần Phát triển Công viên Cây xanh và Đô thị Vũng Tàu,Nước & Khí đốt
UPH,UPCOM,Công ty Cổ phần Dược phẩm TW25,Dược phẩm
USC,UPCOM,Công ty Cổ phần Khảo sát và Xây dựng - USCO,Xây dựng và Vật liệu
USD,UPCOM,Công ty Cổ phần Công trình Đô thị Sóc Trăng,Tư vấn & Hỗ trợ Kinh doanh
UXC,UPCOM,Công ty Cổ phần Chế biến Thủy sản Út Xi,Sản xuất thực phẩm
V11,UPCOM,Công ty Cổ phần Xây dựng số 11,Bất động sản
V12,HNX,Công ty Cổ phần Xây dựng số 12,Xây dựng và Vật liệu
V15,UPCOM,Công ty Cổ phần Xây dựng số 15,Xây dựng và Vật liệu
V21,HNX,Công ty Cổ phần Vinaconex 21,Bất động sản
VAB,UPCOM,Ngân hàng Thương mại Cổ phần Việt Á,Ngân hàng
VAF,HSX,Công ty Cổ phần Phân lân nung chảy Văn Điển,Hóa chất
VAV,UPCOM,Công ty Cổ phần VIWACO,Nước & Khí đốt
VBB,UPCOM,Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín,Ngân hàng
VBC,HNX,"Công ty Cổ phần Nhựa, Bao bì Vinh",Hàng công nghiệp
VBG,UPCOM,Công ty Cổ phần Địa chất Việt Bắc - TKV,Khai khoáng
VBH,UPCOM,Công ty Cổ phần Điện tử Bình Hòa,Điện tử & Thiết bị điện
VC1,HNX,Công ty Cổ phần Xây dựng số 1,Xây dựng và Vật liệu
VC2,HNX,Công ty Cổ phần Đầu tư và Xây dựng VINA2,Xây dựng và Vật liệu
VC3,HNX,Công ty Cổ phần Tập đoàn Nam Mê Kông,Bất động sản
VC5,UPCOM,Công ty Cổ phần Xây dựng Số 5,Xây dựng và Vật liệu
VC6,HNX,Công ty cổ phần Xây dựng và Đầu tư Visicons,Xây dựng và Vật liệu
VC7,HNX,Công ty Cổ phần Tập đoàn BGI,Xây dựng và Vật liệu
VC9,HNX,Công ty Cổ phần Xây dựng số 9 - VC9,Xây dựng và Vật liệu
VCA,HSX,Công ty Cổ phần Thép VICASA - VNSTEEL,Kim loại
VCB,HSX,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng
VCC,HNX,Công ty Cổ phần Vinaconex 25,Xây dựng và Vật liệu
VCE,UPCOM,Công ty Cổ phần Xây lắp Môi trường,Xây dựng và Vật liệu
VCF,HSX,Công ty Cổ phần VinaCafé Biên Hòa,Bia và đồ uống
VCG,HSX,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Xây dựng và Vật liệu
VCI,HSX,Công ty Cổ phần Chứng khoán Vietcap,Dịch vụ tài chính
VCM,HNX,Công ty Cổ phần BV Life,Tư vấn & Hỗ trợ Kinh doanh
VCP,UPCOM,Công ty Cổ phần Xây dựng và Năng lượng VCP,Sản xuất & Phân phối Điện
VCR,UPCOM,Công ty Cổ phần Đầu tư và Phát triển Du lịch Vinaconex,Bất động sản
VCS,HNX,Công ty Cổ phần VICOSTONE,Xây dựng và Vật liệu
VCT,UPCOM,Công ty Cổ phần Tư vấn Xây dựng Vinaconex,Tư vấn & Hỗ trợ Kinh doanh
VCW,UPCOM,Công ty Cổ phần Đầu tư Nước sạch Sông Đà,Nước & Khí đốt
VCX,UPCOM,Công ty Cổ phần Xi măng Yên Bình,Xây dựng và Vật liệu
VDB,UPCOM,Công ty Cổ phần Vận tải và Chế biến Than Đông Bắc,Khai khoáng
VDG,UPCOM,Công ty Cổ phần Vạn Đạt Group,Hàng cá nhân
VDL,HNX,Công ty Cổ phần Thực phẩm Lâm Đồng,Bia và đồ uống
VDN,UPCOM,Công ty Cổ phần Vinatex Đà Nẵng,Hàng cá nhân
VDP,HSX,Công ty Cổ phần Dược phẩm Trung ương VIDIPHA,Dược phẩm
VDS,HSX,Công ty Cổ phần Chứng khoán Rồng Việt,Dịch vụ tài chính
VDT,UPCOM,Công ty Cổ phần Lưới thép Bình Tây,Kim loại
VE1,HNX,Công ty Cổ phần Xây dựng điện VNECO 1,Xây dựng và Vật liệu
VE2,UPCOM,Công ty Cổ phần Xây dựng Điện VNECO 2,Xây dựng và Vật liệu
VE3,HNX,Công ty Cổ phần Xây dựng điện VNECO 3,Xây dựng và Vật liệu
VE4,HNX,Công ty Cổ phần Xây dựng điện VNECO4,Xây dựng và Vật liệu
VE8,HNX,Công ty Cổ phần Xây dựng Điện Vneco 8,Xây dựng và Vật liệu
VE9,UPCOM,Công ty Cổ phần Đầu tư và Xây dựng VNECO 9,Xây dựng và Vật liệu
VEA,UPCOM,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP,Công nghiệp nặng
VEC,UPCOM,Tổng Công ty Cổ phần Điện tử và Tin học Việt Nam,Thiết bị và Phần cứng
VEF,UPCOM,Công ty Cổ phần Trung tâm Hội chợ Triển lãm Việt Nam,Truyền thông
VES,UPCOM,Công ty Cổ phần Đầu tư và Xây dựng Điện MÊ CA VNECO,Bất động sản
VET,UPCOM,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,Hóa chất
VFC,UPCOM,Công ty Cổ phần VINAFCO,Vận tải
VFG,HSX,Công ty Cổ phần Khử trùng Việt Nam,Hóa chất
VFR,UPCOM,Công ty Cổ phần Vận tải và Thuê tàu,Vận tải
VFS,HNX,Công ty Cổ phần Chứng khoán Nhất Việt,Dịch vụ tài chính
VGC,HSX,Tổng Công ty Viglacera - Công ty Cổ phần,Xây dựng và Vật liệu
VGG,UPCOM,Tổng Công Ty Cổ phần May Việt Tiến,Hàng cá nhân
VGI,UPCOM,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,Viễn thông di động
VGL,UPCOM,Công ty Cổ phần Mạ kẽm công nghiệp Vingal-Vnsteel,Kim loại
VGP,HNX,Công ty Cổ phần Cảng Rau Quả,Vận tải
VGR,UPCOM,Công ty Cổ phần Cảng xanh VIP,Vận tải
VGS,HNX,Công ty Cổ phần Ống thép Việt - Đức VG PIPE,Kim loại
VGT,UPCOM,Tập đoàn Dệt May Việt Nam,Hàng cá nhân
VGV,UPCOM,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,Bất động sản
VHC,HSX,Công ty Cổ phần Vĩnh Hoàn,Sản xuất thực phẩm
VHD,UPCOM,Công ty Cổ phần Đầu tư phát triển nhà và đô thị VINAHUD,Bất động sản
VHE,HNX,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam,Dược phẩm
VHF,UPCOM,Công ty Cổ phần Xây dựng và Chế biến lương thực Vĩnh Hà,Sản xuất thực phẩm
VHG,UPCOM,Công ty Cổ phần Đầu tư và Phát triển Việt Trung Nam,Hàng công nghiệp
VHH,UPCOM,Công ty Cổ phần Đầu tư Kinh doanh nhà Thành Đạt,Xây dựng và Vật liệu
VHL,HNX,Công ty Cổ phần Viglacera Hạ Long,Xây dựng và Vật liệu
VHM,HSX,Công ty Cổ phần Vinhomes,Bất động sản
VIB,HSX,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng
VIC,HSX,Tập đoàn Vingroup - Công ty CP,Bất động sản
VID,HSX,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,Lâm nghiệp và Giấy
VIE,UPCOM,Công ty Cổ phần Công nghệ Viễn thông VI TE CO,Thiết bị và Phần cứng
VIF,HNX,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần,Lâm nghiệp và Giấy
VIG,HNX,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,Dịch vụ tài chính
VIH,UPCOM,Công ty Cổ phần Viglacera Hà Nội,Xây dựng và Vật liệu
VIM,UPCOM,Công ty Cổ phần Khoáng sản Viglacera,Khai khoáng
VIN,UPCOM,Công ty Cổ phần Giao nhận Kho vận Ngoại thương Việt Nam,Vận tải
VIP,HSX,Công ty Cổ phần Vận tải Xăng dầu VIPCO,Vận tải
VIR,UPCOM,Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,Du lịch & Giải trí
VIT,HNX,Công ty Cổ phần Viglacera Tiên Sơn,Xây dựng và Vật liệu
VIW,UPCOM,Tổng công ty Đầu tư Nước và Môi trường Việt Nam - Công ty Cổ phần,Xây dựng và Vật liệu
VIX,HSX,Công ty Cổ phần Chứng khoán VIX,Dịch vụ tài chính
VJC,HSX,Công ty Cổ phần Hàng không Vietjet,Du lịch & Giải trí
VKC,UPCOM,Công ty Cổ phần VKC Holdings,Ô tô và phụ tùng
VKP,UPCOM,Công ty Cổ phần Nhựa Tân Hóa,Hóa chất
VLA,HNX,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,Phần mềm & Dịch vụ Máy tính
VLB,UPCOM,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,Xây dựng và Vật liệu
VLC,UPCOM,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần,Sản xuất thực phẩm
VLF,UPCOM,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,Sản xuất thực phẩm
VLG,UPCOM,Công ty Cổ phần VIMC Logistics,Vận tải
VLP,UPCOM,Công ty Cổ phần Công trình Công cộng Vĩnh Long,Tư vấn & Hỗ trợ Kinh doanh
VLW,UPCOM,Công ty Cổ phần Cấp nước Vĩnh Long,Nước & Khí đốt
VMA,UPCOM,Công ty Cổ phần Công nghiệp Ô tô - Vinacomin,Ô tô và phụ tùng
VMC,HNX,Công ty Cổ phần VIMECO,Xây dựng và Vật liệu
VMD,HSX,Công ty Cổ phần Y Dược phẩm Vimedimex,Dược phẩm
VMG,UPCOM,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu,Nước & Khí đốt
VMK,UPCOM,Công ty Cổ phần Vimarko,Xây dựng và Vật liệu
VMS,HNX,Công ty Cổ phần Phát triển Hàng Hải,Vận tải
VMT,UPCOM,Công ty Cổ phần Giao nhận Vận tải Miền Trung,Vận tải
VNA,UPCOM,Công ty Cổ phần Vận tải biển Vinaship,Vận tải
VNB,UPCOM,Công ty Cổ phần Sách Việt Nam,Truyền thông
VNC,HNX,Công ty Cổ phần Tập đoàn Vinacontrol,Tư vấn & Hỗ trợ Kinh doanh
VND,HSX,Công ty Cổ phần Chứng khoán VNDIRECT,Dịch vụ tài chính
VNE,HSX,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,Xây dựng và Vật liệu
VNF,HNX,Công ty Cổ phần Vinafreight,Vận tải
VNG,HSX,Công ty Cổ phần Du Lịch Thành Thành Công,Du lịch & Giải trí
VNH,UPCOM,Công ty Cổ phần Đầu tư Việt Việt Nhật,Sản xuất thực phẩm
VNI,UPCOM,Công ty Cổ phần Đầu tư Bất động sản Việt Nam,Bất động sản
VNL,HSX,Công ty Cổ phần Logistics Vinalink,Vận tải
VNM,HSX,Công ty Cổ phần Sữa Việt Nam,Sản xuất thực phẩm
VNP,UPCOM,Công ty Cổ phần Nhựa Việt Nam,Hóa chất
VNR,HNX,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam,Bảo hiểm phi nhân thọ
VNS,HSX,Công ty Cổ phần Ánh Dương Việt Nam,Du lịch & Giải trí
VNT,HNX,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,Vận tải
VNX,UPCOM,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại Vinexad,Truyền thông
VNY,UPCOM,Công ty Cổ phần Thuốc thú y Trung ương I,Hóa chất
VNZ,UPCOM,Công ty Cổ phần VNG,Truyền thông
VOC,UPCOM,Tổng Công ty Công nghiệp Dầu thực vật Việt Nam - Công ty Cổ phần,Sản xuất thực phẩm
VOS,HSX,Công ty Cổ phần Vận tải Biển Việt Nam,Vận tải
VPA,UPCOM,Công ty Cổ phần Vận tải Hóa dầu VP,Vận tải
VPB,HSX,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng
VPC,UPCOM,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Việt Nam,Xây dựng và Vật liệu
VPD,HSX,Công ty Cổ phần Phát triển Điện lực Việt Nam,Sản xuất & Phân phối Điện
VPG,HSX,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Khai khoáng
VPH,HSX,Công ty Cổ phần Vạn Phát Hưng,Bất động sản
VPI,HSX,Công ty Cổ phần Đầu tư Văn Phú - Invest,Bất động sản
VPR,UPCOM,Công ty Cổ phần VINAPRINT,Truyền thông
VPS,HSX,Công ty Cổ phần Thuốc sát trùng Việt Nam,Hóa chất
VPW,UPCOM,Công ty Cổ phần Cấp thoát nước số 1 Vĩnh Phúc,Nước & Khí đốt
VQC,UPCOM,Công ty Cổ phần Giám định Vinaconmin,Tư vấn & Hỗ trợ Kinh doanh
VRC,HSX,Công ty Cổ phần Bất động sản và Đầu tư VRC,Bất động sản
VRE,HSX,Công ty Cổ phần Vincom Retail,Bất động sản
VRG,UPCOM,Công ty Cổ phần Phát triển Đô thị và Khu Công nghiệp Cao Su Việt Nam,Bất động sản
VSA,HNX,Công ty Cổ phần Đại lý Hàng hải Việt Nam,Vận tải
VSC,HSX,Công ty Cổ phần Container Việt Nam,Vận tải
VSE,UPCOM,Công ty Cổ phần Dịch vụ Đường cao tốc Việt Nam,Vận tải
VSF,UPCOM,Tổng Công ty Lương thực Miền Nam - Công ty Cổ phần,Sản xuất thực phẩm
VSG,UPCOM,Công ty Cổ phần Container Phía Nam,Vận tải
VSH,HSX,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,Sản xuất & Phân phối Điện
VSI,HSX,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,Bất động sản
VSM,HNX,Công ty Cổ phần Container Miền Trung,Vận tải
VSN,UPCOM,Công ty Cổ phần Việt Nam Kỹ Nghệ Súc Sản,Sản xuất thực phẩm
VST,UPCOM,Công ty Cổ phần Vận tải và Thuê Tàu biển Việt Nam,Vận tải
VTA,UPCOM,Công ty Cổ phần VITALY,Xây dựng và Vật liệu
VTB,HSX,Công ty Cổ phần Viettronics Tân Bình,Điện tử & Thiết bị điện
VTC,HNX,Công ty Cổ phần Viễn Thông VTC,Thiết bị và Phần cứng
VTD,UPCOM,Công ty Cổ phần Vietourist Holdings,Du lịch & Giải trí
VTE,UPCOM,Công ty Cổ phần VINACAP Kim Long,Thiết bị và Phần cứng
VTG,UPCOM,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,Du lịch & Giải trí
VTH,HNX,Công ty Cổ phần Dây cáp điện Việt Thái,Điện tử & Thiết bị điện
VTI,UPCOM,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Dệt may,Hàng cá nhân
VTJ,HNX,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA,Thuốc lá
VTK,UPCOM,Công ty Cổ phần Tư vấn và Dịch vụ Viettel,Tư vấn & Hỗ trợ Kinh doanh
VTL,UPCOM,Công ty Cổ phần Vang Thăng Long,Bia và đồ uống
VTM,UPCOM,Công ty Cổ phần Vận tải và Đưa đón thợ mỏ - Vinacomin,Du lịch & Giải trí
VTO,HSX,Công ty Cổ phần Vận tải Xăng dầu VITACO,Vận tải
VTP,HSX,Tổng Công ty Cổ phần Bưu chính Viettel,Vận tải
VTQ,UPCOM,Công ty Cổ phần Việt Trung Quảng Bình,Hóa chất
VTR,UPCOM,Công ty Cổ phần Du lịch và tiếp thị giao thông vận tải Việt Nam - Vietravel,Du lịch & Giải trí
VTS,UPCOM,Công ty Cổ phần Gạch Ngói Từ Sơn,Xây dựng và Vật liệu
VTV,HNX,Công ty Cổ phần Năng lượng và Môi trường VICEM,Xây dựng và Vật liệu
VTX,UPCOM,Công ty Cổ phần Vận tải Đa phương thức VIETRANSTIMEX,Vận tải
VTZ,HNX,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,Hóa chất
VUA,UPCOM,Công ty Cổ phần Chứng khoán Stanley Brothers,Dịch vụ tài chính
VVN,UPCOM,Tổng Công ty Cổ phần Xây dựng Công nghiệp Việt Nam,Xây dựng và Vật liệu
VVS,UPCOM,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,Ô tô và phụ tùng
VW3,UPCOM,Công ty Cổ phần VIWASEEN3,Xây dựng và Vật liệu
VWS,UPCOM,Công ty Cổ phần Nước và Môi trường Việt Nam,Nước & Khí đốt
VXB,UPCOM,Công ty Cổ phần Vật liệu xây dựng Bến Tre,Xây dựng và Vật liệu
VXP,UPCOM,Công ty Cổ phần Thuốc Thú y Trung ương VETVACO,Hóa chất
VXT,UPCOM,Công ty Cổ phần Kho vận và dịch vụ thương mại,Tư vấn & Hỗ trợ Kinh doanh
WCS,HNX,Công ty Cổ phần Bến xe Miền Tây,Vận tải
WSB,UPCOM,Công ty Cổ phần Bia Sài Gòn - Miền Tây,Bia và đồ uống
WSS,HNX,Công ty Cổ phần Chứng khoán Phố Wall,Dịch vụ tài chính
WTC,UPCOM,Công ty Cổ phần Vận tải thủy - Vinacomin,Vận tải
X20,HNX,Công ty Cổ phần X20,Hàng cá nhân
X26,UPCOM,Công ty Cổ phần 26,Hàng cá nhân
X77,UPCOM,Công ty Cổ phần Thành An 77,Xây dựng và Vật liệu
XDH,UPCOM,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,Bất động sản
XHC,UPCOM,Công ty Cổ phần Xuân Hòa Việt Nam,Hàng gia dụng
XLV,UPCOM,Công ty Cổ phần Xây lắp và Dịch vụ Sông Đà,Xây dựng và Vật liệu
XMC,UPCOM,Công ty cổ phần Đầu tư và Xây dựng Xuân Mai,Xây dựng và Vật liệu
XMD,UPCOM,Công ty Cổ phần Xuân Mai - Đạo Tú,Xây dựng và Vật liệu
XMP,UPCOM,Công ty Cổ phần Thủy điện Xuân Minh,Sản xuất & Phân phối Điện
XPH,UPCOM,Công ty Cổ phần Xà phòng Hà Nội,Hàng cá nhân
YBC,UPCOM,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái,Xây dựng và Vật liệu
YBM,HSX,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,Khai khoáng
YEG,HSX,Công ty Cổ phần Tập đoàn Yeah1,Truyền thông
YTC,UPCOM,Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,Thiết bị và Dịch vụ Y tế
